1. Distance restraints summary
------------------------------

	Total number of restraints                                    =  2618 (100.0%)
	Intraresidue restraints |i-j|=0                               =   572 (21.85%)
	Sequential restraints |i-j|=1                                 =   592 (22.61%)
	Medium range  restraints|i-j|>1 and |i-j|<5                   =   782 (29.87%)
	Long range restraints|i-j|>=5                                 =   672 (25.67%)


2. Distance restraint violations
--------------------------------

2.1 Number of violated restraints for each model
------------------------------------------------

       Model	    Not Violated(%)	        Violated(%)	         0A-0.2A(%)	       0.2A-0.5A(%)	       0.5A-1.0A(%)	       1.0A-2.0A(%)	       2.0A-5.0A(%)	           >5.0A(%)

           1	        2554(97.56)	          64(2.44)	          64(2.44)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           2	        2537(96.91)	          81(3.09)	          81(3.09)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           3	        2531(96.68)	          87(3.32)	          85(3.25)	           2(0.08)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           4	        2542(97.1)	          76(2.9)	          76(2.9)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           5	        2549(97.36)	          69(2.64)	          69(2.64)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           6	        2545(97.21)	          73(2.79)	          73(2.79)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           7	        2538(96.94)	          80(3.06)	          80(3.06)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           8	        2529(96.6)	          89(3.4)	          89(3.4)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           9	        2552(97.48)	          66(2.52)	          66(2.52)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          10	        2552(97.48)	          66(2.52)	          66(2.52)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          11	        2534(96.79)	          84(3.21)	          84(3.21)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          12	        2541(97.06)	          77(2.94)	          77(2.94)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          13	        2562(97.86)	          56(2.14)	          56(2.14)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          14	        2526(96.49)	          92(3.51)	          90(3.44)	           2(0.08)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          15	        2540(97.02)	          78(2.98)	          76(2.9)	           2(0.08)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          16	        2549(97.36)	          69(2.64)	          69(2.64)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          17	        2549(97.36)	          69(2.64)	          68(2.6)	           1(0.04)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          18	        2547(97.29)	          71(2.71)	          71(2.71)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          19	        2550(97.4)	          68(2.6)	          68(2.6)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          20	        2550(97.4)	          68(2.6)	          68(2.6)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)


2.2 Number of violated models for each restraint
------------------------------------------------

	Restraint ID             	No. of Violated Models   	Average Violation(A)     	Violated Models          

	1                        	1                        	0.0005                   	7                        
	8                        	2                        	0.0157                   	10,12                    
	11                       	2                        	0.0507                   	16,17                    
	14                       	1                        	0.0186                   	19                       
	19                       	10                       	0.0378                   	1,2,4,5,7,12,14,15,18,19 
	22                       	6                        	0.0323                   	1,4,8,10,15,19           
	24                       	2                        	0.0146                   	12,18                    
	27                       	2                        	0.0254                   	1,15                     
	28                       	1                        	0.0155                   	5                        
	30                       	2                        	0.0409                   	8,10                     
	42                       	3                        	0.0894                   	4,11,17                  
	50                       	1                        	0.0719                   	3                        
	51                       	1                        	0.0377                   	4                        
	52                       	1                        	0.0012                   	12                       
	53                       	5                        	0.0615                   	9,11,16,17,19            
	57                       	2                        	0.0329                   	11,17                    
	58                       	1                        	0.0339                   	10                       
	60                       	2                        	0.0176                   	9,16                     
	66                       	2                        	0.0587                   	2,18                     
	67                       	2                        	0.036                    	10,16                    
	71                       	1                        	0.0044                   	14                       
	76                       	1                        	0.0093                   	13                       
	78                       	2                        	0.0113                   	4,7                      
	82                       	10                       	0.0458                   	1,2,4,5,7,9,10,12,19,20  
	85                       	5                        	0.0378                   	4,7,13,19,20             
	87                       	1                        	0.0003                   	2                        
	88                       	1                        	0.0175                   	8                        
	89                       	1                        	0.0884                   	6                        
	90                       	2                        	0.0454                   	8,17                     
	91                       	1                        	0.0186                   	20                       
	94                       	1                        	0.0501                   	7                        
	96                       	2                        	0.0324                   	12,18                    
	97                       	1                        	0.0089                   	6                        
	98                       	1                        	0.0482                   	6                        
	99                       	2                        	0.0211                   	7,12                     
	100                      	3                        	0.0198                   	9,13,15                  
	107                      	1                        	0.0162                   	7                        
	112                      	1                        	0.01                     	11                       
	114                      	1                        	0.0268                   	4                        
	116                      	3                        	0.0285                   	7,11,18                  
	118                      	3                        	0.0899                   	4,7,11                   
	123                      	2                        	0.0234                   	2,19                     
	132                      	2                        	0.0357                   	2,14                     
	141                      	2                        	0.0089                   	12,15                    
	146                      	7                        	0.0348                   	4,6,8,11,16,17,19        
	150                      	2                        	0.0787                   	4,11                     
	151                      	5                        	0.0478                   	3,8,9,14,20              
	201                      	4                        	0.0388                   	2,7,12,14                
	203                      	2                        	0.041                    	8,9                      
	210                      	1                        	0.0244                   	10                       
	226                      	6                        	0.0673                   	6,11,17,18,19,20         
	229                      	3                        	0.0274                   	3,4,5                    
	230                      	2                        	0.0153                   	13,14                    
	235                      	7                        	0.0621                   	1,2,3,5,6,11,20          
	258                      	1                        	0.0318                   	8                        
	270                      	1                        	0.0199                   	16                       
	277                      	1                        	0.0102                   	2                        
	278                      	2                        	0.0298                   	14,15                    
	279                      	16                       	0.0608                   	1,3,5,6,8,9,10,12,13,14,15,16,17,18,19,20
	286                      	2                        	0.021                    	8,12                     
	293                      	6                        	0.0613                   	9,12,14,16,18,20         
	295                      	2                        	0.028                    	7,11                     
	296                      	1                        	0.0203                   	4                        
	299                      	4                        	0.0681                   	7,11,13,17               
	308                      	3                        	0.0466                   	17,18,19                 
	310                      	9                        	0.0574                   	4,7,9,10,11,12,14,15,20  
	312                      	3                        	0.0398                   	4,6,11                   
	313                      	2                        	0.0108                   	2,11                     
	314                      	2                        	0.0398                   	6,12                     
	315                      	3                        	0.0287                   	2,7,11                   
	319                      	1                        	0.1059                   	6                        
	324                      	10                       	0.0377                   	3,5,6,8,13,14,15,18,19,20
	329                      	1                        	0.0435                   	4                        
