1. Distance restraints summary
------------------------------

	Total number of restraints                                    =  2541 (100.0%)
	Intraresidue restraints |i-j|=0                               =   743 (29.24%)
	Sequential restraints |i-j|=1                                 =   631 (24.83%)
	Medium range  restraints|i-j|>1 and |i-j|<5                   =   413 (16.25%)
	Long range restraints|i-j|>=5                                 =   754 (29.67%)


2. Distance restraint violations
--------------------------------

2.1 Number of violated restraints for each model
------------------------------------------------

       Model	    Not Violated(%)	        Violated(%)	         0A-0.2A(%)	       0.2A-0.5A(%)	       0.5A-1.0A(%)	       1.0A-2.0A(%)	       2.0A-5.0A(%)	           >5.0A(%)

           1	        2517(99.06)	          24(0.94)	          24(0.94)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           2	        2522(99.25)	          19(0.75)	          18(0.71)	           1(0.04)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           3	        2516(99.02)	          25(0.98)	          25(0.98)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           4	        2515(98.98)	          26(1.02)	          26(1.02)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           5	        2514(98.94)	          27(1.06)	          27(1.06)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           6	        2521(99.21)	          20(0.79)	          19(0.75)	           1(0.04)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           7	        2511(98.82)	          30(1.18)	          29(1.14)	           1(0.04)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           8	        2510(98.78)	          31(1.22)	          31(1.22)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           9	        2501(98.43)	          40(1.57)	          39(1.53)	           1(0.04)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          10	        2505(98.58)	          36(1.42)	          36(1.42)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          11	        2511(98.82)	          30(1.18)	          30(1.18)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          12	        2514(98.94)	          27(1.06)	          27(1.06)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          13	        2513(98.9)	          28(1.1)	          26(1.02)	           2(0.08)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          14	        2521(99.21)	          20(0.79)	          20(0.79)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          15	        2513(98.9)	          28(1.1)	          27(1.06)	           1(0.04)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          16	        2508(98.7)	          33(1.3)	          31(1.22)	           2(0.08)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          17	        2519(99.13)	          22(0.87)	          22(0.87)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          18	        2511(98.82)	          30(1.18)	          30(1.18)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          19	        2512(98.86)	          29(1.14)	          28(1.1)	           1(0.04)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          20	        2522(99.25)	          19(0.75)	          17(0.67)	           2(0.08)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)


2.2 Number of violated models for each restraint
------------------------------------------------

	Restraint ID             	No. of Violated Models   	Average Violation(A)     	Violated Models          

	8                        	1                        	0.0057                   	16                       
	9                        	5                        	0.0779                   	2,12,16,17,20            
	10                       	3                        	0.1585                   	6,15,20                  
	41                       	1                        	0.1748                   	18                       
	68                       	2                        	0.1451                   	13,15                    
	71                       	5                        	0.0978                   	5,10,11,13,14            
	85                       	2                        	0.0192                   	3,16                     
	88                       	1                        	0.0171                   	3                        
	89                       	1                        	0.0607                   	8                        
	101                      	1                        	0.0297                   	19                       
	181                      	4                        	0.0121                   	3,5,10,16                
	307                      	1                        	0.0032                   	2                        
	311                      	1                        	0.0505                   	7                        
	477                      	1                        	0.007                    	7                        
	536                      	2                        	0.0299                   	2,16                     
	546                      	2                        	0.0675                   	4,7                      
	600                      	1                        	0.0515                   	7                        
	602                      	3                        	0.0388                   	9,15,17                  
	624                      	4                        	0.0606                   	1,11,16,20               
	629                      	3                        	0.0635                   	3,7,18                   
	630                      	1                        	0.0382                   	19                       
	635                      	1                        	0.0101                   	5                        
	651                      	7                        	0.094                    	2,4,8,9,17,18,20         
	652                      	1                        	0.0728                   	9                        
	653                      	1                        	0.1126                   	4                        
	656                      	1                        	0.1035                   	10                       
	662                      	1                        	0.1205                   	13                       
	667                      	2                        	0.0732                   	3,20                     
	668                      	3                        	0.0346                   	3,11,12                  
	679                      	3                        	0.082                    	3,13,14                  
	682                      	2                        	0.015                    	7,15                     
	685                      	10                       	0.0175                   	1,2,3,5,6,7,8,16,17,19   
	693                      	2                        	0.0128                   	15,16                    
	696                      	1                        	0.0139                   	12                       
	699                      	4                        	0.029                    	5,10,16,18               
	725                      	2                        	0.0287                   	9,14                     
	737                      	2                        	0.0235                   	3,5                      
	738                      	1                        	0.0502                   	20                       
	746                      	2                        	0.0061                   	4,9                      
	755                      	1                        	0.0713                   	7                        
	757                      	1                        	0.0179                   	15                       
	767                      	6                        	0.03                     	9,10,11,13,14,18         
	769                      	1                        	0.0307                   	11                       
	777                      	1                        	0.0325                   	13                       
	778                      	1                        	0.1324                   	12                       
	785                      	1                        	0.038                    	7                        
	795                      	3                        	0.051                    	1,6,19                   
	801                      	3                        	0.0592                   	6,16,19                  
	821                      	5                        	0.0651                   	9,11,13,15,20            
	866                      	5                        	0.0851                   	1,8,9,11,16              
	875                      	2                        	0.1199                   	15,18                    
	1087                     	1                        	0.0043                   	7                        
	1120                     	1                        	0.0673                   	16                       
	1135                     	4                        	0.0364                   	4,6,9,10                 
	1136                     	1                        	0.0408                   	10                       
	1185                     	1                        	0.16                     	9                        
	1192                     	2                        	0.0401                   	14,17                    
	1221                     	1                        	0.029                    	11                       
	1229                     	1                        	0.1315                   	10                       
	1230                     	3                        	0.0159                   	10,12,13                 
	1233                     	8                        	0.062                    	3,4,5,8,11,16,17,18      
	1244                     	1                        	0.0623                   	20                       
	1245                     	2                        	0.0318                   	15,20                    
	1247                     	1                        	0.0129                   	12                       
	1258                     	2                        	0.0644                   	1,17                     
	1260                     	1                        	0.0055                   	7                        
	1262                     	5                        	0.0804                   	1,3,4,18,20              
	1268                     	5                        	0.0312                   	6,13,17,18,19            
	1279                     	1                        	0.0361                   	9                        
	1280                     	1                        	0.0108                   	3                        
	1282                     	1                        	0.0012                   	12                       
	1283                     	1                        	0.1069                   	12                       
	1323                     	3                        	0.0777                   	8,9,16                   
	1324                     	2                        	0.0466                   	6,10                     
	1325                     	2                        	0.052                    	6,9                      
	1328                     	1                        	0.0987                   	10                       
