1. Distance restraints summary
------------------------------

	Total number of restraints                                    =  4712 (100.0%)
	Intraresidue restraints |i-j|=0                               =   934 (19.82%)
	Sequential restraints |i-j|=1                                 =  1024 (21.73%)
	Medium range  restraints|i-j|>1 and |i-j|<5                   =   890 (18.89%)
	Long range restraints|i-j|>=5                                 =  1864 (39.56%)


2. Distance restraint violations
--------------------------------

2.1 Number of violated restraints for each model
------------------------------------------------

       Model	    Not Violated(%)	        Violated(%)	         0A-0.2A(%)	       0.2A-0.5A(%)	       0.5A-1.0A(%)	       1.0A-2.0A(%)	       2.0A-5.0A(%)	           >5.0A(%)

           1	        4198(89.09)	         514(10.91)	         461(9.78)	          21(0.45)	          30(0.64)	           2(0.04)	           0(0.0)	           0(0.0)
           2	        4213(89.41)	         499(10.59)	         446(9.47)	          24(0.51)	          26(0.55)	           3(0.06)	           0(0.0)	           0(0.0)
           3	        4212(89.39)	         500(10.61)	         447(9.49)	          24(0.51)	          27(0.57)	           2(0.04)	           0(0.0)	           0(0.0)
           4	        4203(89.2)	         509(10.8)	         456(9.68)	          22(0.47)	          28(0.59)	           3(0.06)	           0(0.0)	           0(0.0)
           5	        4210(89.35)	         502(10.65)	         450(9.55)	          21(0.45)	          29(0.62)	           2(0.04)	           0(0.0)	           0(0.0)
           6	        4198(89.09)	         514(10.91)	         460(9.76)	          22(0.47)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
           7	        4200(89.13)	         512(10.87)	         457(9.7)	          26(0.55)	          26(0.55)	           3(0.06)	           0(0.0)	           0(0.0)
           8	        4202(89.18)	         510(10.82)	         456(9.68)	          22(0.47)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
           9	        4198(89.09)	         514(10.91)	         457(9.7)	          27(0.57)	          29(0.62)	           1(0.02)	           0(0.0)	           0(0.0)
          10	        4200(89.13)	         512(10.87)	         462(9.8)	          24(0.51)	          23(0.49)	           3(0.06)	           0(0.0)	           0(0.0)
          11	        4194(89.01)	         518(10.99)	         460(9.76)	          26(0.55)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
          12	        4184(88.79)	         528(11.21)	         473(10.04)	          25(0.53)	          30(0.64)	           0(0.0)	           0(0.0)	           0(0.0)
          13	        4184(88.79)	         528(11.21)	         474(10.06)	          22(0.47)	          29(0.62)	           3(0.06)	           0(0.0)	           0(0.0)
          14	        4199(89.11)	         513(10.89)	         460(9.76)	          22(0.47)	          28(0.59)	           3(0.06)	           0(0.0)	           0(0.0)
          15	        4206(89.26)	         506(10.74)	         449(9.53)	          26(0.55)	          29(0.62)	           2(0.04)	           0(0.0)	           0(0.0)
          16	        4193(88.99)	         519(11.01)	         467(9.91)	          24(0.51)	          26(0.55)	           2(0.04)	           0(0.0)	           0(0.0)
          17	        4208(89.3)	         504(10.7)	         448(9.51)	          26(0.55)	          28(0.59)	           2(0.04)	           0(0.0)	           0(0.0)
          18	        4183(88.77)	         529(11.23)	         476(10.1)	          22(0.47)	          29(0.62)	           2(0.04)	           0(0.0)	           0(0.0)
          19	        4182(88.75)	         530(11.25)	         477(10.12)	          22(0.47)	          28(0.59)	           3(0.06)	           0(0.0)	           0(0.0)
          20	        4201(89.16)	         511(10.84)	         458(9.72)	          26(0.55)	          26(0.55)	           1(0.02)	           0(0.0)	           0(0.0)


2.2 Number of violated models for each restraint
------------------------------------------------

	Restraint ID             	No. of Violated Models   	Average Violation(A)     	Violated Models          

	1                        	20                       	0.1039                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	2                        	20                       	0.5431                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	4                        	20                       	0.4253                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	5                        	3                        	0.0612                   	5,10,16                  
	6                        	20                       	0.4438                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	7                        	8                        	0.0277                   	1,2,3,6,10,15,18,19      
	8                        	20                       	0.408                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	10                       	20                       	0.4601                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	11                       	1                        	0.0258                   	19                       
	12                       	20                       	0.4193                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	13                       	20                       	0.4399                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	14                       	20                       	0.5398                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	15                       	20                       	0.4816                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	16                       	20                       	0.512                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	17                       	18                       	0.054                    	1,2,3,4,5,6,7,9,10,11,12,13,15,16,17,18,19,20
	18                       	20                       	0.4715                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	19                       	20                       	0.2268                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	20                       	20                       	0.5632                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	21                       	20                       	0.3472                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	22                       	20                       	0.8014                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	23                       	20                       	0.1219                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	24                       	20                       	0.6109                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	25                       	20                       	0.2749                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	26                       	20                       	0.6967                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	27                       	20                       	0.1743                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	28                       	20                       	0.6726                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	29                       	20                       	0.1786                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	30                       	20                       	0.6373                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	31                       	20                       	0.1243                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	32                       	20                       	0.5362                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	33                       	19                       	0.1962                   	1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20
	34                       	20                       	0.6534                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
