1. Distance restraints summary
------------------------------

	Total number of restraints                                    =  2918 (100.0%)
	Intraresidue restraints |i-j|=0                               =   570 (19.53%)
	Sequential restraints |i-j|=1                                 =   658 (22.55%)
	Medium range  restraints|i-j|>1 and |i-j|<5                   =   479 (16.42%)
	Long range restraints|i-j|>=5                                 =  1211 (41.5%)


2. Distance restraint violations
--------------------------------

2.1 Number of violated restraints for each model
------------------------------------------------

       Model	    Not Violated(%)	        Violated(%)	         0A-0.2A(%)	       0.2A-0.5A(%)	       0.5A-1.0A(%)	       1.0A-2.0A(%)	       2.0A-5.0A(%)	           >5.0A(%)

           1	        2862(98.08)	          56(1.92)	          55(1.88)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           2	        2859(97.98)	          59(2.02)	          58(1.99)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           3	        2854(97.81)	          64(2.19)	          63(2.16)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           4	        2860(98.01)	          58(1.99)	          57(1.95)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           5	        2854(97.81)	          64(2.19)	          63(2.16)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           6	        2857(97.91)	          61(2.09)	          59(2.02)	           2(0.07)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           7	        2858(97.94)	          60(2.06)	          58(1.99)	           2(0.07)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           8	        2858(97.94)	          60(2.06)	          58(1.99)	           2(0.07)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           9	        2853(97.77)	          65(2.23)	          64(2.19)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          10	        2866(98.22)	          52(1.78)	          50(1.71)	           2(0.07)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          11	        2856(97.88)	          62(2.12)	          60(2.06)	           2(0.07)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          12	        2854(97.81)	          64(2.19)	          62(2.12)	           2(0.07)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          13	        2851(97.7)	          67(2.3)	          64(2.19)	           3(0.1)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          14	        2866(98.22)	          52(1.78)	          51(1.75)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          15	        2859(97.98)	          59(2.02)	          57(1.95)	           2(0.07)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          16	        2855(97.84)	          63(2.16)	          61(2.09)	           2(0.07)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          17	        2847(97.57)	          71(2.43)	          70(2.4)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          18	        2861(98.05)	          57(1.95)	          56(1.92)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          19	        2863(98.12)	          55(1.88)	          54(1.85)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          20	        2858(97.94)	          60(2.06)	          59(2.02)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)


2.2 Number of violated models for each restraint
------------------------------------------------

	Restraint ID             	No. of Violated Models   	Average Violation(A)     	Violated Models          

	97                       	1                        	0.0263                   	6                        
	98                       	4                        	0.0571                   	6,12,13,20               
	99                       	20                       	0.1786                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	119                      	6                        	0.0138                   	3,6,7,11,13,16           
	130                      	2                        	0.0995                   	13,15                    
	131                      	3                        	0.0515                   	5,9,20                   
	141                      	3                        	0.0283                   	2,12,14                  
	158                      	20                       	0.0754                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	188                      	1                        	0.0273                   	12                       
	208                      	3                        	0.0189                   	2,16,18                  
	209                      	1                        	0.1986                   	14                       
	214                      	1                        	0.0106                   	20                       
	225                      	1                        	0.0381                   	19                       
	235                      	1                        	0.0506                   	8                        
	249                      	1                        	0.037                    	3                        
	279                      	2                        	0.113                    	1,20                     
	295                      	1                        	0.1802                   	16                       
	389                      	16                       	0.0668                   	1,2,3,4,5,7,9,10,11,12,13,14,15,16,17,19
	409                      	4                        	0.02                     	3,6,9,18                 
	413                      	1                        	0.0777                   	20                       
	488                      	14                       	0.0506                   	2,5,6,7,8,9,11,12,13,14,15,17,19,20
	491                      	1                        	0.0042                   	7                        
	515                      	7                        	0.0515                   	2,3,6,7,9,12,13          
	517                      	1                        	0.0623                   	1                        
	533                      	9                        	0.0147                   	2,4,5,6,11,13,15,16,17   
	536                      	1                        	0.0486                   	3                        
	563                      	6                        	0.0738                   	2,6,8,9,10,17            
	567                      	2                        	0.0693                   	1,20                     
	573                      	1                        	0.0261                   	1                        
	579                      	2                        	0.0487                   	17,18                    
	595                      	2                        	0.02                     	9,14                     
	630                      	1                        	0.0673                   	2                        
	651                      	4                        	0.0126                   	8,10,12,17               
	652                      	1                        	0.0028                   	8                        
	655                      	11                       	0.0545                   	1,2,3,6,7,11,13,14,15,16,19
	684                      	1                        	0.0359                   	6                        
	702                      	6                        	0.0601                   	6,10,13,15,16,19         
	703                      	6                        	0.0624                   	3,9,11,12,18,20          
	708                      	13                       	0.072                    	1,3,4,6,7,8,10,11,14,15,17,18,19
	725                      	2                        	0.027                    	11,12                    
	748                      	14                       	0.0438                   	4,5,6,7,8,10,11,12,15,16,17,18,19,20
	760                      	3                        	0.0461                   	5,11,18                  
	766                      	7                        	0.0289                   	7,8,9,12,14,17,20        
	774                      	9                        	0.0325                   	2,3,4,7,8,9,16,18,19     
	806                      	2                        	0.0126                   	12,17                    
	831                      	3                        	0.0476                   	2,7,10                   
	850                      	2                        	0.0175                   	15,16                    
	860                      	1                        	0.0455                   	16                       
	861                      	2                        	0.0504                   	3,18                     
	901                      	2                        	0.0205                   	13,20                    
	902                      	6                        	0.055                    	2,5,9,10,12,13           
	966                      	18                       	0.0909                   	1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19
	1013                     	1                        	0.0142                   	20                       
	1050                     	1                        	0.028                    	10                       
	1058                     	20                       	0.2796                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1126                     	13                       	0.0342                   	2,4,5,6,10,11,12,13,14,16,17,18,19
	1167                     	1                        	0.0149                   	9                        
	1215                     	3                        	0.0169                   	13,16,18                 
	1243                     	14                       	0.1021                   	1,3,5,6,9,11,12,13,14,15,16,18,19,20
	1255                     	2                        	0.0256                   	9,17                     
	1256                     	1                        	0.0242                   	9                        
	1271                     	1                        	0.0637                   	16                       
	1288                     	1                        	0.1998                   	5                        
