1. Distance restraints summary
------------------------------

	Total number of restraints                                    =  4973 (100.0%)
	Intraresidue restraints |i-j|=0                               =  1139 (22.9%)
	Sequential restraints |i-j|=1                                 =  1063 (21.38%)
	Medium range  restraints|i-j|>1 and |i-j|<5                   =  1422 (28.59%)
	Long range restraints|i-j|>=5                                 =  1349 (27.13%)


2. Distance restraint violations
--------------------------------

2.1 Number of violated restraints for each model
------------------------------------------------

       Model	    Not Violated(%)	        Violated(%)	         0A-0.2A(%)	       0.2A-0.5A(%)	       0.5A-1.0A(%)	       1.0A-2.0A(%)	       2.0A-5.0A(%)	           >5.0A(%)

           1	        4864(97.81)	         109(2.19)	         106(2.13)	           3(0.06)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           2	        4857(97.67)	         116(2.33)	         113(2.27)	           3(0.06)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           3	        4852(97.57)	         121(2.43)	         116(2.33)	           5(0.1)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           4	        4849(97.51)	         124(2.49)	         123(2.47)	           1(0.02)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           5	        4869(97.91)	         104(2.09)	         100(2.01)	           4(0.08)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           6	        4876(98.05)	          97(1.95)	          92(1.85)	           5(0.1)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           7	        4862(97.77)	         111(2.23)	         108(2.17)	           3(0.06)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           8	        4868(97.89)	         105(2.11)	         103(2.07)	           2(0.04)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           9	        4860(97.73)	         113(2.27)	         110(2.21)	           3(0.06)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          10	        4868(97.89)	         105(2.11)	         103(2.07)	           2(0.04)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          11	        4881(98.15)	          92(1.85)	          91(1.83)	           1(0.02)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          12	        4875(98.03)	          98(1.97)	          95(1.91)	           3(0.06)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          13	        4844(97.41)	         129(2.59)	         126(2.53)	           3(0.06)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          14	        4864(97.81)	         109(2.19)	         106(2.13)	           3(0.06)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          15	        4865(97.83)	         108(2.17)	         104(2.09)	           4(0.08)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          16	        4875(98.03)	          98(1.97)	          96(1.93)	           2(0.04)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          17	        4864(97.81)	         109(2.19)	         105(2.11)	           4(0.08)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          18	        4867(97.87)	         106(2.13)	         102(2.05)	           4(0.08)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          19	        4864(97.81)	         109(2.19)	         106(2.13)	           3(0.06)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          20	        4871(97.95)	         102(2.05)	          97(1.95)	           5(0.1)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)


2.2 Number of violated models for each restraint
------------------------------------------------

	Restraint ID             	No. of Violated Models   	Average Violation(A)     	Violated Models          

	5                        	1                        	0.0401                   	20                       
	74                       	2                        	0.0246                   	3,18                     
	200                      	2                        	0.0534                   	3,13                     
	269                      	19                       	0.0353                   	1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	280                      	15                       	0.0528                   	1,2,4,6,8,9,10,11,12,13,15,16,18,19,20
	368                      	1                        	0.0513                   	17                       
	394                      	19                       	0.1056                   	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	416                      	1                        	0.0899                   	17                       
	441                      	2                        	0.177                    	7,17                     
	450                      	4                        	0.0285                   	9,10,12,14               
	507                      	2                        	0.2381                   	3,9                      
	535                      	3                        	0.0322                   	3,11,19                  
	552                      	3                        	0.0423                   	3,6,10                   
	580                      	12                       	0.1003                   	1,2,3,4,5,6,7,8,13,15,16,18
	581                      	3                        	0.0436                   	6,9,17                   
	601                      	1                        	0.0163                   	9                        
	602                      	1                        	0.1384                   	5                        
	620                      	16                       	0.0687                   	1,2,3,4,5,7,8,9,10,11,13,15,17,18,19,20
	621                      	1                        	0.0025                   	13                       
	633                      	1                        	0.0076                   	17                       
	852                      	5                        	0.0304                   	3,5,10,11,16             
	876                      	2                        	0.0168                   	4,14                     
	1024                     	4                        	0.0227                   	1,2,18,19                
	1027                     	2                        	0.0166                   	4,17                     
	1028                     	3                        	0.0146                   	7,9,13                   
	1030                     	6                        	0.0441                   	2,4,5,10,12,17           
	1048                     	18                       	0.0847                   	1,2,3,4,5,6,7,8,9,10,11,12,14,16,17,18,19,20
	1049                     	2                        	0.0738                   	2,11                     
	1052                     	6                        	0.0664                   	6,8,12,13,18,20          
	1064                     	5                        	0.069                    	4,7,16,18,20             
	1065                     	4                        	0.06                     	2,14,19,20               
	1073                     	4                        	0.0258                   	2,4,13,14                
	1086                     	2                        	0.0069                   	15,18                    
	1088                     	5                        	0.0215                   	2,4,6,13,20              
	1100                     	3                        	0.056                    	7,17,18                  
	1109                     	1                        	0.0269                   	20                       
	1152                     	2                        	0.214                    	7,15                     
	1155                     	2                        	0.0132                   	4,20                     
	1160                     	2                        	0.0231                   	9,17                     
	1161                     	1                        	0.046                    	8                        
	1166                     	1                        	0.0121                   	18                       
	1199                     	1                        	0.0263                   	7                        
	1206                     	1                        	0.0127                   	4                        
	1218                     	4                        	0.0721                   	3,4,13,14                
	1219                     	1                        	0.0129                   	1                        
	1248                     	1                        	0.0518                   	18                       
	1249                     	3                        	0.0449                   	4,11,13                  
	1278                     	2                        	0.0233                   	4,9                      
	1305                     	4                        	0.0419                   	5,7,12,15                
	1316                     	3                        	0.0274                   	7,12,14                  
	1317                     	1                        	0.0006                   	14                       
	1320                     	5                        	0.0594                   	5,10,13,17,18            
	1322                     	11                       	0.1102                   	1,2,3,4,6,9,10,11,14,18,19
	1332                     	4                        	0.0233                   	1,3,6,9                  
	1350                     	2                        	0.0229                   	5,7                      
	1358                     	4                        	0.0221                   	8,11,14,18               
	1359                     	1                        	0.0014                   	2                        
	1434                     	12                       	0.0336                   	2,3,4,5,8,11,12,13,14,15,18,20
	1438                     	19                       	0.0895                   	1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	1441                     	2                        	0.0499                   	2,5                      
	1468                     	15                       	0.0867                   	1,2,4,5,7,9,10,11,12,13,14,15,16,17,18
	1478                     	2                        	0.0602                   	9,14                     
	1481                     	1                        	0.0093                   	9                        
	1485                     	14                       	0.0544                   	1,2,4,5,6,9,10,11,13,15,16,17,18,20
	1506                     	1                        	0.0089                   	4                        
	1557                     	1                        	0.0111                   	13                       
	1583                     	2                        	0.0521                   	7,17                     
	1587                     	7                        	0.0501                   	1,2,6,9,17,19,20         
	1708                     	14                       	0.0685                   	2,3,4,7,8,9,10,12,13,14,15,16,17,19
	1716                     	2                        	0.0344                   	2,16                     
	1747                     	16                       	0.0717                   	1,2,3,4,5,6,8,9,10,12,13,14,15,16,17,19
	1819                     	13                       	0.0705                   	1,2,3,6,7,9,13,15,16,17,18,19,20
	1823                     	1                        	0.162                    	6                        
	1863                     	5                        	0.0516                   	1,2,3,17,19              
	1875                     	1                        	0.0161                   	2                        
	1883                     	1                        	0.4003                   	6                        
	1924                     	3                        	0.0218                   	3,4,13                   
	2017                     	7                        	0.1526                   	5,7,12,13,15,17,20       
	2060                     	3                        	0.0457                   	8,12,13                  
	2081                     	2                        	0.1312                   	8,12                     
	2091                     	2                        	0.0607                   	8,10                     
	2104                     	9                        	0.0805                   	2,3,4,5,7,11,14,18,19    
	2166                     	1                        	0.0039                   	2                        
	2190                     	2                        	0.0316                   	5,10                     
	2200                     	1                        	0.0514                   	13                       
	2290                     	17                       	0.0356                   	1,2,3,4,5,6,7,8,9,10,11,14,15,16,17,18,20
	2348                     	4                        	0.0885                   	4,9,13,14                
	2377                     	7                        	0.0333                   	2,4,7,9,10,11,20         
	2382                     	2                        	0.0452                   	3,15                     
	2388                     	5                        	0.0527                   	3,6,13,15,17             
	2429                     	20                       	0.0955                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
