1. Distance restraints summary
------------------------------

	Total number of restraints                                    =  3743 (100.0%)
	Intraresidue restraints |i-j|=0                               =  1080 (28.85%)
	Sequential restraints |i-j|=1                                 =   749 (20.01%)
	Medium range  restraints|i-j|>1 and |i-j|<5                   =   824 (22.01%)
	Long range restraints|i-j|>=5                                 =  1090 (29.12%)


2. Distance restraint violations
--------------------------------

2.1 Number of violated restraints for each model
------------------------------------------------

       Model	    Not Violated(%)	        Violated(%)	         0A-0.2A(%)	       0.2A-0.5A(%)	       0.5A-1.0A(%)	       1.0A-2.0A(%)	       2.0A-5.0A(%)	           >5.0A(%)

           1	        3683(98.4)	          60(1.6)	          58(1.55)	           2(0.05)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           2	        3691(98.61)	          52(1.39)	          51(1.36)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           3	        3708(99.06)	          35(0.94)	          34(0.91)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           4	        3699(98.82)	          44(1.18)	          44(1.18)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           5	        3697(98.77)	          46(1.23)	          45(1.2)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           6	        3709(99.09)	          34(0.91)	          34(0.91)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           7	        3705(98.98)	          38(1.02)	          36(0.96)	           2(0.05)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           8	        3696(98.74)	          47(1.26)	          47(1.26)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           9	        3704(98.96)	          39(1.04)	          38(1.02)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          10	        3702(98.9)	          41(1.1)	          41(1.1)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          11	        3707(99.04)	          36(0.96)	          35(0.94)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          12	        3704(98.96)	          39(1.04)	          39(1.04)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          13	        3707(99.04)	          36(0.96)	          35(0.94)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          14	        3700(98.85)	          43(1.15)	          42(1.12)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          15	        3689(98.56)	          54(1.44)	          53(1.42)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          16	        3696(98.74)	          47(1.26)	          45(1.2)	           2(0.05)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          17	        3706(99.01)	          37(0.99)	          36(0.96)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          18	        3704(98.96)	          39(1.04)	          38(1.02)	           1(0.03)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          19	        3708(99.06)	          35(0.94)	          35(0.94)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          20	        3708(99.06)	          35(0.94)	          33(0.88)	           2(0.05)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)


2.2 Number of violated models for each restraint
------------------------------------------------

	Restraint ID             	No. of Violated Models   	Average Violation(A)     	Violated Models          

	17                       	4                        	0.0539                   	2,8,13,18                
	72                       	3                        	0.0416                   	2,11,15                  
	73                       	1                        	0.0568                   	10                       
	107                      	1                        	0.1356                   	5                        
	136                      	1                        	0.1309                   	5                        
	146                      	7                        	0.0428                   	1,5,10,12,15,17,19       
	191                      	3                        	0.0379                   	12,13,20                 
	233                      	3                        	0.0751                   	4,5,15                   
	253                      	2                        	0.0811                   	2,4                      
	289                      	3                        	0.0546                   	5,16,19                  
	294                      	3                        	0.0296                   	1,2,17                   
	299                      	1                        	0.1413                   	16                       
	302                      	2                        	0.1168                   	4,14                     
	344                      	1                        	0.0305                   	5                        
	358                      	1                        	0.2599                   	9                        
	472                      	1                        	0.0754                   	1                        
	537                      	2                        	0.0418                   	2,5                      
	583                      	1                        	0.0007                   	7                        
	601                      	5                        	0.0129                   	1,3,4,8,15               
	610                      	3                        	0.1449                   	2,4,6                    
	661                      	2                        	0.0567                   	4,14                     
	685                      	1                        	0.0724                   	18                       
	787                      	1                        	0.0347                   	1                        
	925                      	11                       	0.0768                   	4,5,6,7,8,10,11,12,14,17,18
	929                      	2                        	0.0172                   	9,15                     
	945                      	1                        	0.0285                   	4                        
	946                      	2                        	0.0674                   	13,15                    
	952                      	2                        	0.0486                   	7,20                     
	965                      	2                        	0.1112                   	14,20                    
	998                      	3                        	0.0511                   	14,15,20                 
	1013                     	1                        	0.0238                   	15                       
	1018                     	2                        	0.0627                   	13,18                    
	1025                     	1                        	0.0146                   	16                       
	1051                     	1                        	0.0193                   	16                       
	1065                     	1                        	0.0059                   	4                        
	1099                     	1                        	0.0532                   	10                       
	1100                     	4                        	0.0665                   	2,3,5,16                 
	1101                     	1                        	0.0055                   	4                        
	1110                     	2                        	0.0383                   	7,20                     
	1114                     	1                        	0.0967                   	9                        
	1136                     	2                        	0.0251                   	10,11                    
	1150                     	2                        	0.0173                   	1,4                      
	1216                     	1                        	0.05                     	8                        
	1285                     	1                        	0.2525                   	1                        
	1290                     	1                        	0.1017                   	11                       
	1291                     	4                        	0.0471                   	3,7,9,13                 
	1302                     	1                        	0.0157                   	9                        
	1319                     	1                        	0.2843                   	7                        
	1329                     	7                        	0.03                     	5,9,11,13,15,16,17       
	1340                     	8                        	0.101                    	1,2,5,8,14,17,18,19      
	1378                     	1                        	0.0124                   	1                        
	1390                     	9                        	0.0618                   	1,3,5,8,11,12,13,16,19   
	1435                     	4                        	0.1564                   	12,13,15,20              
	1506                     	3                        	0.083                    	6,9,11                   
	1511                     	7                        	0.0398                   	1,3,5,8,12,15,16         
	1514                     	4                        	0.0778                   	14,15,17,20              
	1524                     	5                        	0.0688                   	2,4,5,11,15              
	1526                     	1                        	0.012                    	20                       
	1639                     	2                        	0.0474                   	10,19                    
	1682                     	1                        	0.1305                   	8                        
	1716                     	1                        	0.0267                   	14                       
	1732                     	2                        	0.1163                   	3,6                      
	1733                     	1                        	0.0601                   	6                        
	1738                     	2                        	0.0222                   	12,14                    
	1749                     	10                       	0.0648                   	1,3,4,7,8,9,10,13,14,15  
	1754                     	1                        	0.0903                   	1                        
	1761                     	10                       	0.0626                   	2,4,5,6,7,8,11,15,18,20  
	1785                     	8                        	0.0862                   	1,5,6,8,9,12,13,19       
	1788                     	2                        	0.1072                   	1,13                     
	1798                     	1                        	0.0302                   	16                       
	1804                     	9                        	0.0784                   	3,4,6,8,14,15,16,17,20   
	1815                     	1                        	0.0158                   	8                        
	1842                     	2                        	0.0471                   	18,19                    
	1868                     	1                        	0.1204                   	2                        
	1873                     	1                        	0.0595                   	14                       
	1889                     	1                        	0.1083                   	2                        
	1902                     	3                        	0.0523                   	1,5,8                    
	1910                     	1                        	0.0132                   	3                        
	1911                     	1                        	0.0145                   	20                       
	1912                     	4                        	0.102                    	1,3,5,10                 
	1914                     	2                        	0.0698                   	3,11                     
	1963                     	1                        	0.0277                   	4                        
	1969                     	1                        	0.0383                   	19                       
	1984                     	3                        	0.0826                   	1,13,15                  
	1985                     	1                        	0.0436                   	9                        
	1988                     	1                        	0.0155                   	1                        
	1991                     	3                        	0.0531                   	9,12,13                  
	2005                     	2                        	0.0449                   	2,17                     
	2031                     	1                        	0.0186                   	17                       
	2057                     	1                        	0.0819                   	7                        
	2088                     	5                        	0.0304                   	5,9,14,15,16             
	2093                     	1                        	0.0038                   	1                        
	2094                     	1                        	0.0226                   	1                        
	2097                     	1                        	0.0175                   	17                       
	2099                     	6                        	0.061                    	1,3,14,15,16,18          
	2100                     	3                        	0.0883                   	6,8,10                   
	2108                     	2                        	0.1654                   	7,20                     
	2117                     	2                        	0.066                    	15,16                    
	2128                     	2                        	0.0377                   	1,7                      
	2134                     	1                        	0.1149                   	13                       
	2143                     	1                        	0.163                    	18                       
	2151                     	2                        	0.0062                   	3,6                      
	2185                     	2                        	0.0343                   	12,16                    
	2210                     	3                        	0.0852                   	1,16,17                  
	2213                     	1                        	0.0334                   	15                       
	2215                     	2                        	0.0694                   	8,17                     
	2227                     	11                       	0.0731                   	1,2,3,4,6,11,12,13,15,17,20
	2293                     	1                        	0.031                    	5                        
	2310                     	1                        	0.1231                   	15                       
	2323                     	2                        	0.0371                   	2,4                      
	2325                     	2                        	0.037                    	9,14                     
	2328                     	2                        	0.0576                   	11,15                    
	2352                     	1                        	0.0258                   	7                        
	2353                     	4                        	0.0723                   	1,4,5,12                 
	2354                     	1                        	0.0127                   	2                        
	2355                     	1                        	0.0966                   	2                        
	2366                     	3                        	0.0479                   	3,9,11                   
	2398                     	10                       	0.0603                   	2,3,4,8,10,11,14,17,18,19
	2420                     	1                        	0.0148                   	3                        
	2424                     	1                        	0.0186                   	1                        
	2434                     	3                        	0.107                    	1,6,20                   
	2435                     	2                        	0.0679                   	16,18                    
	2460                     	1                        	0.0555                   	2                        
	2462                     	3                        	0.0314                   	7,10,12                  
	2464                     	1                        	0.0473                   	9                        
	2484                     	4                        	0.0825                   	2,8,11,19                
	2506                     	4                        	0.0338                   	9,14,16,18               
	2507                     	1                        	0.0025                   	15                       
	2515                     	2                        	0.0102                   	1,15                     
	2521                     	6                        	0.0558                   	9,12,15,18,19,20         
	2526                     	1                        	0.0242                   	2                        
	2541                     	6                        	0.0883                   	3,6,8,9,12,20            
	2542                     	1                        	0.1389                   	1                        
	2543                     	2                        	0.067                    	1,6                      
	2552                     	2                        	0.0362                   	12,18                    
	2565                     	2                        	0.0907                   	3,9                      
	2579                     	1                        	0.0704                   	14                       
	2586                     	9                        	0.0856                   	3,7,8,9,10,11,12,13,20   
	2604                     	1                        	0.0598                   	4                        
	2607                     	1                        	0.0551                   	8                        
	2612                     	1                        	0.0441                   	16                       
	2637                     	3                        	0.0093                   	3,5,18                   
	2638                     	1                        	0.0339                   	12                       
	2652                     	1                        	0.0449                   	12                       
	2656                     	8                        	0.0509                   	2,7,8,11,12,16,17,19     
	2660                     	1                        	0.0663                   	15                       
	2671                     	4                        	0.087                    	1,5,16,18                
	2680                     	1                        	0.0064                   	2                        
	2681                     	2                        	0.017                    	7,10                     
	2687                     	1                        	0.1726                   	4                        
	2688                     	1                        	0.0179                   	19                       
	2694                     	4                        	0.0718                   	4,5,11,16                
	2695                     	2                        	0.1189                   	4,14                     
	2702                     	3                        	0.0184                   	5,8,16                   
	2707                     	13                       	0.0795                   	1,2,3,4,5,6,8,11,14,17,18,19,20
	2709                     	1                        	0.0001                   	7                        
	2714                     	3                        	0.0678                   	13,15,18                 
	2728                     	1                        	0.072                    	15                       
	2746                     	1                        	0.0607                   	16                       
	2758                     	1                        	0.0795                   	8                        
	2779                     	1                        	0.042                    	2                        
	2780                     	5                        	0.0861                   	4,8,10,17,19             
	2781                     	1                        	0.1325                   	2                        
	2784                     	2                        	0.056                    	4,14                     
	2788                     	9                        	0.0718                   	2,4,5,8,10,12,13,18,19   
	2806                     	3                        	0.0292                   	6,12,13                  
	2825                     	17                       	0.05                     	1,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19
	2829                     	1                        	0.057                    	8                        
	2836                     	1                        	0.0111                   	10                       
	2889                     	3                        	0.0645                   	2,11,18                  
