1. Distance restraints summary
------------------------------

	Total number of restraints                                    =  1108 (100.0%)
	Intraresidue restraints |i-j|=0                               =   320 (28.88%)
	Sequential restraints |i-j|=1                                 =   280 (25.27%)
	Medium range  restraints|i-j|>1 and |i-j|<5                   =   137 (12.36%)
	Long range restraints|i-j|>=5                                 =   371 (33.48%)


2. Distance restraint violations
--------------------------------

2.1 Number of violated restraints for each model
------------------------------------------------

       Model	    Not Violated(%)	        Violated(%)	         0A-0.2A(%)	       0.2A-0.5A(%)	       0.5A-1.0A(%)	       1.0A-2.0A(%)	       2.0A-5.0A(%)	           >5.0A(%)

           1	        1060(95.67)	          48(4.33)	          46(4.15)	           2(0.18)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           2	        1057(95.4)	          51(4.6)	          49(4.42)	           2(0.18)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           3	        1055(95.22)	          53(4.78)	          52(4.69)	           1(0.09)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           4	        1067(96.3)	          41(3.7)	          40(3.61)	           1(0.09)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           5	        1062(95.85)	          46(4.15)	          44(3.97)	           2(0.18)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           6	        1064(96.03)	          44(3.97)	          44(3.97)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           7	        1054(95.13)	          54(4.87)	          52(4.69)	           2(0.18)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           8	        1065(96.12)	          43(3.88)	          42(3.79)	           1(0.09)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
           9	        1056(95.31)	          52(4.69)	          51(4.6)	           1(0.09)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          10	        1064(96.03)	          44(3.97)	          43(3.88)	           1(0.09)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          11	        1068(96.39)	          40(3.61)	          39(3.52)	           1(0.09)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          12	        1070(96.57)	          38(3.43)	          38(3.43)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          13	        1058(95.49)	          50(4.51)	          47(4.24)	           3(0.27)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          14	        1053(95.04)	          55(4.96)	          54(4.87)	           1(0.09)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          15	        1049(94.68)	          59(5.32)	          56(5.05)	           3(0.27)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          16	        1066(96.21)	          42(3.79)	          39(3.52)	           3(0.27)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          17	        1057(95.4)	          51(4.6)	          49(4.42)	           2(0.18)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          18	        1062(95.85)	          46(4.15)	          45(4.06)	           1(0.09)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          19	        1055(95.22)	          53(4.78)	          52(4.69)	           1(0.09)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)
          20	        1066(96.21)	          42(3.79)	          42(3.79)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)	           0(0.0)


2.2 Number of violated models for each restraint
------------------------------------------------

	Restraint ID             	No. of Violated Models   	Average Violation(A)     	Violated Models          

	8                        	2                        	0.0156                   	2,10                     
	12                       	1                        	0.051                    	18                       
	17                       	1                        	0.0551                   	5                        
	20                       	1                        	0.1253                   	14                       
	31                       	1                        	0.0499                   	20                       
	46                       	7                        	0.0693                   	1,3,11,13,15,17,18       
	55                       	6                        	0.024                    	4,12,15,16,18,20         
	64                       	1                        	0.0128                   	10                       
	66                       	1                        	0.0061                   	17                       
	69                       	6                        	0.1219                   	3,6,10,11,18,19          
	70                       	2                        	0.1039                   	7,15                     
	71                       	2                        	0.0682                   	14,17                    
	76                       	1                        	0.0503                   	5                        
	105                      	1                        	0.0279                   	11                       
	113                      	2                        	0.0524                   	6,19                     
	117                      	1                        	0.0047                   	7                        
	129                      	2                        	0.0443                   	2,11                     
	138                      	3                        	0.0984                   	11,13,15                 
	156                      	6                        	0.0797                   	2,3,10,13,17,18          
	159                      	13                       	0.0963                   	1,2,3,4,5,9,10,12,13,15,16,17,20
	170                      	3                        	0.035                    	14,16,20                 
	174                      	1                        	0.1394                   	14                       
	176                      	1                        	0.0329                   	10                       
	182                      	1                        	0.0126                   	7                        
	185                      	1                        	0.0244                   	14                       
	186                      	2                        	0.0152                   	14,16                    
	187                      	1                        	0.039                    	13                       
	194                      	2                        	0.0056                   	2,4                      
	207                      	2                        	0.0357                   	15,19                    
	216                      	1                        	0.0082                   	9                        
	231                      	5                        	0.1532                   	2,5,10,13,17             
	232                      	5                        	0.0812                   	4,6,8,9,18               
	238                      	4                        	0.0345                   	1,2,3,14                 
	243                      	2                        	0.0291                   	16,20                    
	261                      	1                        	0.0141                   	19                       
	262                      	4                        	0.1997                   	11,13,15,17              
	267                      	6                        	0.0655                   	1,2,8,14,19,20           
	271                      	3                        	0.1058                   	11,13,17                 
	274                      	4                        	0.0345                   	9,10,11,19               
	283                      	1                        	0.0098                   	5                        
	297                      	3                        	0.0792                   	9,10,12                  
	303                      	10                       	0.1215                   	1,2,3,4,6,8,13,15,16,19  
	307                      	2                        	0.0081                   	6,19                     
	320                      	10                       	0.0506                   	3,5,7,8,10,11,12,14,15,19
	330                      	3                        	0.0409                   	3,6,16                   
	338                      	5                        	0.0528                   	4,9,11,12,16             
	339                      	14                       	0.0921                   	1,2,4,5,6,7,9,10,11,12,15,16,19,20
	349                      	3                        	0.0347                   	15,16,20                 
	352                      	2                        	0.046                    	15,17                    
	363                      	1                        	0.0064                   	13                       
	369                      	1                        	0.0472                   	13                       
	373                      	9                        	0.0656                   	2,6,9,11,14,15,17,19,20  
	378                      	14                       	0.0804                   	2,5,6,7,8,9,11,13,14,15,17,18,19,20
	384                      	1                        	0.1025                   	1                        
	390                      	5                        	0.0225                   	1,2,7,14,19              
	393                      	2                        	0.0224                   	1,14                     
	400                      	6                        	0.0866                   	2,5,6,13,14,18           
	401                      	1                        	0.0547                   	3                        
	402                      	1                        	0.0488                   	15                       
	408                      	1                        	0.0394                   	1                        
	413                      	8                        	0.0446                   	1,2,4,5,7,9,13,14        
	414                      	2                        	0.0229                   	15,18                    
	415                      	3                        	0.0256                   	10,19,20                 
	451                      	1                        	0.0091                   	18                       
	464                      	12                       	0.0995                   	1,2,3,5,6,7,8,9,12,13,17,18
	466                      	2                        	0.0312                   	3,7                      
	470                      	8                        	0.0489                   	2,3,5,6,7,9,18,19        
	474                      	1                        	0.0335                   	3                        
	476                      	1                        	0.0154                   	5                        
	502                      	6                        	0.0469                   	2,3,5,6,12,17            
	506                      	2                        	0.028                    	3,17                     
	511                      	6                        	0.0176                   	3,4,7,9,12,20            
	516                      	5                        	0.0425                   	1,2,6,12,14              
	534                      	12                       	0.047                    	2,4,7,8,9,10,11,12,14,15,16,19
	543                      	3                        	0.0429                   	1,3,5                    
	555                      	2                        	0.0543                   	15,18                    
	572                      	3                        	0.0239                   	3,10,19                  
	578                      	1                        	0.0334                   	15                       
	579                      	1                        	0.0009                   	2                        
	586                      	9                        	0.0494                   	1,3,5,7,14,15,16,17,19   
	587                      	1                        	0.0371                   	14                       
	592                      	3                        	0.097                    	2,9,14                   
	593                      	7                        	0.0831                   	3,5,6,11,13,15,18        
	596                      	1                        	0.0256                   	19                       
	605                      	12                       	0.0714                   	1,2,6,7,8,13,14,15,16,17,18,19
	609                      	1                        	0.0273                   	1                        
	611                      	1                        	0.0296                   	15                       
	639                      	2                        	0.1265                   	10,14                    
	651                      	5                        	0.0617                   	3,9,15,18,19             
	652                      	1                        	0.0096                   	8                        
	657                      	3                        	0.0152                   	1,14,17                  
	679                      	1                        	0.0762                   	17                       
	680                      	7                        	0.1941                   	1,5,6,10,13,14,17        
	686                      	11                       	0.0756                   	2,7,8,11,12,14,15,16,18,19,20
	689                      	3                        	0.0162                   	5,13,17                  
	699                      	18                       	0.0819                   	1,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	700                      	3                        	0.0445                   	2,15,16                  
	704                      	6                        	0.0214                   	3,6,7,13,18,19           
	713                      	4                        	0.0609                   	7,8,9,16                 
	715                      	2                        	0.0332                   	7,13                     
	716                      	1                        	0.0063                   	7                        
	726                      	3                        	0.0235                   	14,16,19                 
	727                      	4                        	0.0293                   	3,10,16,19               
	732                      	1                        	0.061                    	20                       
	734                      	3                        	0.0035                   	6,9,19                   
	737                      	13                       	0.0707                   	1,2,3,4,5,7,8,12,13,14,15,17,18
	741                      	2                        	0.0497                   	14,19                    
	749                      	2                        	0.0353                   	8,15                     
	756                      	2                        	0.0593                   	2,20                     
	770                      	14                       	0.073                    	2,3,8,9,10,11,12,13,14,15,16,18,19,20
	775                      	1                        	0.0327                   	3                        
	785                      	4                        	0.074                    	1,5,6,13                 
	788                      	3                        	0.058                    	1,13,17                  
	789                      	7                        	0.0478                   	2,7,8,9,12,15,20         
	790                      	5                        	0.1081                   	2,3,4,7,17               
	791                      	1                        	0.085                    	4                        
	792                      	1                        	0.0453                   	1                        
	815                      	1                        	0.047                    	1                        
	821                      	1                        	0.0032                   	8                        
	825                      	1                        	0.1416                   	17                       
	827                      	5                        	0.0971                   	1,2,4,7,14               
	828                      	6                        	0.099                    	2,7,10,17,18,19          
	840                      	18                       	0.0884                   	1,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20
	848                      	5                        	0.0408                   	1,2,5,8,14               
	858                      	1                        	0.0352                   	5                        
	889                      	18                       	0.1073                   	1,2,3,4,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	890                      	2                        	0.1092                   	5,8                      
	892                      	5                        	0.0308                   	4,7,9,10,13              
	897                      	9                        	0.0422                   	2,4,7,9,10,11,13,15,17   
	928                      	19                       	0.0591                   	1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	937                      	3                        	0.0549                   	6,8,10                   
	946                      	14                       	0.0635                   	3,5,6,7,8,9,11,12,13,15,17,18,19,20
	950                      	15                       	0.099                    	1,2,3,4,5,6,7,8,9,12,13,14,16,17,19
	952                      	5                        	0.1129                   	9,15,16,18,20            
	961                      	18                       	0.0657                   	1,2,3,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20
	962                      	18                       	0.0907                   	1,2,3,4,6,7,9,10,11,12,13,14,15,16,17,18,19,20
	973                      	2                        	0.0306                   	10,17                    
	986                      	2                        	0.0466                   	7,17                     
	990                      	4                        	0.0303                   	5,7,17,19                
	993                      	11                       	0.0729                   	3,6,9,10,11,12,13,14,17,18,20
	1009                     	5                        	0.0327                   	3,7,8,12,13              
	1011                     	8                        	0.0383                   	4,5,7,8,10,12,14,19      
	1023                     	19                       	0.0786                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20
	1030                     	1                        	0.0392                   	15                       
	1031                     	14                       	0.0777                   	1,2,3,4,6,7,9,10,12,14,15,16,17,19
	1056                     	1                        	0.0915                   	17                       
	1057                     	2                        	0.0216                   	14,15                    
	1069                     	3                        	0.1657                   	6,10,15                  
	1                        	19                       	0.0454                   	1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	3                        	10                       	0.0487                   	1,4,5,7,9,11,13,14,15,18 
	4                        	2                        	0.0073                   	7,9                      
	5                        	15                       	0.0686                   	3,4,5,6,7,9,10,11,13,14,15,16,18,19,20
	6                        	5                        	0.0347                   	4,7,9,15,19              
	7                        	1                        	0.0542                   	8                        
	8                        	1                        	0.0101                   	20                       
	9                        	13                       	0.0565                   	1,3,4,5,7,8,9,11,12,15,17,18,20
	10                       	1                        	0.0001                   	8                        
	11                       	20                       	0.1056                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	12                       	7                        	0.0114                   	1,3,4,8,13,16,20         
	13                       	5                        	0.0352                   	2,4,6,8,16               
	15                       	20                       	0.1824                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	16                       	20                       	0.133                    	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	17                       	11                       	0.0151                   	3,4,6,8,9,12,13,14,16,18,20
	19                       	5                        	0.032                    	5,6,9,18,20              
	21                       	20                       	0.0846                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	22                       	9                        	0.0227                   	1,3,9,13,14,16,17,19,20  
	25                       	14                       	0.0616                   	1,2,3,5,6,9,10,11,13,14,15,17,18,19
	27                       	2                        	0.0143                   	9,15                     
	29                       	18                       	0.0437                   	1,2,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20
	33                       	20                       	0.1411                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	34                       	2                        	0.0075                   	3,18                     
	35                       	20                       	0.1746                   	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
	36                       	5                        	0.0093                   	2,3,4,11,15              

2.3 Distance restraint violations summary
-----------------------------------------

	                                                                 	Intrresidue         	Sequential          	Medium-range        	Long-range          	Total               

	Number of consistently violated restraints (violated in all models)	     0 (0.0%)       	     0 (0.0%)       	     3 (0.27%)      	     3 (0.27%)      	     6 (0.54%)      
	Number of violated restraints (at least in one model)            	    12 (1.08%)      	    38 (3.43%)      	    29 (2.62%)      	    94 (8.48%)      	   173 (15.61%)     
	Number of non violated restraints                                	   308 (27.8%)      	   242 (21.84%)     	   108 (9.75%)      	   277 (25.0%)      	   935 (84.39%)     
